State,County,County,State Profile,Jurisdiction Profile (R/B/M),County Profile,State Social Distancing Policy,state abbreviation,Pre-COVID Jail Population,Change,Percentage Change,Jail Incarceration Rate Per 100K,International Benchmark,Rate Reduction to Match Internatonal Norms,Add'l Jail Reduction to Match Pre-COVID Intn'l Avg,Jail rate is X time norm,Target Jail Population,Date of covid data,Jail Population (Latest),Resident population,Cases Per 100K Residents,COVID-19 Cases,Deaths Per 100K Residents,COVID-19 Deaths
Kentucky,"Greenup, KY",Greenup,23,M,0.7357512953,,KY,127,-22,-0.173228346,299.1623,35,-264.162,-92.7157,8.547496,12.2843,4/9/2020,105,35098,6,2,0,0
Kentucky,"Hardin, KY",Hardin,23,M,0.6592827004,,KY,766,-118,-0.154046997,584.0048,35,-549.005,-609.165,16.68585,38.8353,4/9/2020,648,110958,10,11,0,0
Kentucky,"Hart, KY",Hart,23,R,0.7546391753,,KY,196,-52,-0.265306122,756.5012,35,-721.501,-137.338,21.61432,6.66225,4/9/2020,144,19035,5,1,0,0
Kentucky,"Henderson, KY",Henderson,23,R,0.644723093,,KY,454,-105,-0.231277533,771.9531,35,-736.953,-333.177,22.0558,15.8235,4/9/2020,349,45210,51,23,0,0
Kentucky,"Hopkins, KY",Hopkins,23,R,0.779854621,,KY,387,-56,-0.144702842,740.7242,35,-705.724,-315.36,21.16355,15.6401,4/9/2020,331,44686,172,77,13,6
Kentucky,"Jackson, KY",Jackson,23,B,0.9099283521,,KY,125,-28,-0.224,727.7365,35,-692.737,-92.3349,20.79247,4.66515,4/9/2020,97,13329,23,3,0,0
Kentucky,"Jessamine, KY",Jessamine,23,M,0.7136715391,,KY,149,-62,-0.416107383,160.7687,35,-125.769,-68.0598,4.593392,18.94025,4/9/2020,87,54115,33,18,0,0
Kentucky,"Johnson, KY",Johnson,23,B,0.8650875386,,KY,195,-49,-0.251282051,658.0133,35,-623.013,-138.234,18.80038,7.7658,4/9/2020,146,22188,5,1,0,0
Kentucky,"Kenton, KY",Kenton,23,M,0.6391862955,,KY,713,-344,-0.482468443,220.9607,35,-185.961,-310.551,6.313164,58.4493,4/9/2020,369,166998,48,80,5,8
Kentucky,"Knox, KY",Knox,23,B,0.8484536082,,KY,337,-28,-0.083086053,992.1336,35,-957.134,-298.099,28.34667,10.90075,4/9/2020,309,31145,3,1,0,0
Kentucky,"Larue, KY",Larue,23,R,0.7895287958,,KY,133,-20,-0.15037594,784.8312,35,-749.831,-107.961,22.42375,5.0393,4/9/2020,113,14398,21,3,0,0
Kentucky,"Laurel, KY",Laurel,23,B,0.8565531476,,KY,609,-21,-0.034482759,966.8985,35,-931.899,-566.715,27.62567,21.28455,4/9/2020,588,60813,5,3,0,0
Kentucky,"Leslie, KY",Leslie,23,B,0.9094608342,,KY,215,-5,-0.023255814,2126.152,35,-2091.15,-206.543,60.74719,3.45695,4/9/2020,210,9877,10,1,0,0
Kentucky,"Letcher, KY",Letcher,23,M,0.8252326784,,KY,110,-21,-0.190909091,412.9356,35,-377.936,-81.4565,11.79816,7.54355,4/9/2020,89,21553,5,1,0,0
Kentucky,"Lewis, KY",Lewis,23,R,0.8477366255,,KY,66,-13,-0.196969697,399.2467,35,-364.247,-48.3538,11.40705,4.64625,4/9/2020,53,13275,15,2,0,0
Kentucky,"Lincoln, KY",Lincoln,23,B,0.7970863684,,KY,147,-69,-0.469387755,317.7319,35,-282.732,-69.4079,9.078054,8.59215,4/9/2020,78,24549,4,1,0,0
Kentucky,"Logan, KY",Logan,23,R,0.7386363636,,KY,176,-49,-0.278409091,468.6001,35,-433.6,-117.514,13.38857,9.4857,4/9/2020,127,27102,18,5,0,0
Kentucky,"Madison, KY",Madison,23,M,0.6652542373,,KY,345,-99,-0.286956522,264.5531,35,-229.553,-213.455,7.55866,32.54545,4/9/2020,246,92987,15,14,1,1
Kentucky,"Marion, KY",Marion,23,R,0.656964657,,KY,298,-46,-0.154362416,1307.529,35,-1272.53,-245.254,37.35796,6.74555,4/9/2020,252,19273,26,5,0,0
Kentucky,"Mason, KY",Mason,23,R,0.7150313152,,KY,184,-62,-0.336956522,714.7042,35,-679.704,-116.026,20.42012,5.9745,4/9/2020,122,17070,18,3,0,0
Kentucky,"McCracken, KY",McCracken,23,M,0.6945606695,,KY,556,-150,-0.269784173,620.6243,35,-585.624,-383.104,17.73212,22.8963,4/9/2020,406,65418,20,13,2,1
Kentucky,"Montgomery, KY",Montgomery,23,R,0.7130977131,,KY,203,-65,-0.320197044,490.109,35,-455.109,-128.145,14.00312,9.85495,4/9/2020,138,28157,25,7,0,0
Kentucky,"Muhlenberg, KY",Muhlenberg,23,R,0.7415036045,,KY,261,-46,-0.176245211,702.1096,35,-667.11,-204.282,20.06027,10.7177,4/9/2020,215,30622,85,26,0,0
